LINE, REF, QTY, EPCCS TYP, EPCCS PN, MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,RPUadpt SMD,,,TOTAL,
,,,,,,11/15/17 (14226^6),,,=SUM(J7:J100)
,,,,,,,,,,
1,C1 C2 C5 C6 C7 C8 C9 C10 C13,9,C-C,0603X7R50V104K,TDK@C1608X7R1H104K080AA,CAP CER 0.1UF 50V 10% X7R 0603,(1),0.0055,=C5*I5,ADPT
2,C3,1,C-C,0603NPO50V471J,MURATA@GRM1885C1H471JA01D,CAP CER 470PF 50V 5% NPO 0603,(1),0.0202,=C6*I6,ADPT
3,C4,1,C-T,106A,AVX@TPSA106K010R0900,CAP TANT 10UF 10V 10% ESR .9OHM 1206,(1),0.3575,=C7*I7,ADPT
4,C11 C12,2,C-C,0603NPO50V270J,SAMSUNG@CL10C270JB8NNNC,CAP CER 27PF 50V 5% NPO 0603,(1),0.0067,=C8*I8,RPUNO
5,D1,1,D-GP,T4,DIODES@1N4148W-7-F,DIODE SWITCH 100V 0.15A SOD123,(1),0.0601,=C9*I9,CC01
6,Q1 Q2 Q3,3,Q-NCH,K38,DIODES@BSS138-7-F,MOSFET N-CH 200MA 50V SOT23,(1),0.0657,=C10*I10,ADPT
7,R1 R2 R6 R9 R10 R11 R13 R14 R16 R17 R23 R26,12,R-C,0805KX1002,YAGEO@RC0805FR-0710KL,RESISTOR CHIP 1% 10KOHM 0805,(1),0.0025,=C11*I11,ADPT
8,R3 R4 R5 R12 R15 R19 R21 R25 R27 R28 R31 R33 R35 R36,14,R-C,0805KX3011,YAGEO@RC0805FR-073K01L,RESISTOR CHIP 1% 3K01OHM 0805,(1),0.0064,=C12*I12,ADPT
9,R7 R18 R22,3,R-C,0805KX100R,YAGEO@RC0805FR-07100RL,RESISTOR CHIP 1% 100OHM 0805,(1),0.0025,=C13*I13,ADPT
10,R8 R32 R34 R37,0,R-C,OPEN,,,(),0.0,=C14*I14,NA
11,R20 R38,2,R-C,0805KX1501,YAGEO@RC0805FR-071K5L,RESISTOR CHIP 1% 1K5OHM 0805,(1),0.0025,=C15*I15,ADPT
12,R24 R29 R30,3,R-C,0805KX182R,YAGEO@RC0805FR-07182RL,RESISTOR CHIP 1% 182OHM 0805,(1),0.0025,=C16*I16,IRRIGATE7
13,U1 U3 U8,3,U-7400,74LVC07A,DIODES@74LVC07AS14-13,LOGIC BUFFER OPEN DRAIN 14SOIC,(1),0.1978,=C17*I17,ADPT
14,U2 U4 U6,3,U-TRANSCEIVER,3172EIBZ,INTERSIL@ISL3172EIBZ,TRANSCEIVER RS485 3.3V HALFDPLX 8SOIC,,1.2567,=C18*I18,ADPT
15,U5,1,P-DCDC,KB33,MICREL@MIC5205-3.3YM5,REG ULDO 3V3 150MA SOT23-5,(1),0.34,=C19*I19,ADPT
16,U7,1,U-AVR,ATMEGA328P,ATMEL@ATMEGA328P-AU,MCU AVR8 32KB FLASH 20MHZ 32TQFP,(1),1.8952,=C20*I20,ADPT
17,Y1,1,Y-XTL,12MHZ20,ECS@ECS-120-20-3X-TR,CRYSTAL 12MHZ 20PF 30PPM  CSM-3X,(1),0.315,=C21*I21,ADPT
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,



